ID Producto,SKU,Nombre,Descripcion,Tamano Unidad,Medida Unidad,ID Presentación,Unidades por Paquete,Unidades por Presentación,Costo por Paquete,Costo Unitario,Moneda,ID Barcode,Codigo de Barras,Precio de Venta
532,QUA-HAR-AVE-400-KG-49A3,"Harina de Avena Quaker, 400 gr","Harina de Avena Quaker, 400 gr",400.00,KG,350,16,16,"23,00",1.44,USD,128,7591184002056,65000
533,AMA-CAF-100-GR-268D,"Cafe Amanecer, 100 gr","Cafe Amanecer, 100 gr",100.00,GR,351,50,50,"53,01",01.06,USD,133,7595461001206,156000
534,ARO-CAF-12-UND-FF62,"Cafe Aroma, 40 gr","Cafe Aroma, 40 gr",12.00,UND,,24,24,"490000,00",,COP,134,7702088218768,528000
537,PRI-PAS-ESP-1-KG-EAD1,"Pasta Corta Primor Extra Especial Tornillos, 1 kg","Pasta Corta Primor Extra Especial Tornillos, 1 kg",1.00,KG,355,12,12,"23,80",1.98,USD,137,7591002400743,60000
538,SIN-PAS-PRE-1-KG-A6C8,"Pasta Corta Sindoni Premium Plumita, 1 kg","Pasta Corta Sindoni Premium Plumita, 1 kg",1.00,KG,356,12,12,"21,17",1.76,USD,138,7591674000050,60000
539,SIN-PAS-PRE-1-KG-755A,"Pasta Corta Sindoni Premium Dedal, 1 kg","Pasta Corta Sindoni Premium Dedal, 1 kg",1.00,KG,357,12,12,"21,17",1.76,USD,139,7591674000326,60000
540,FLU-CRE-DEN-75-ML-E8D4,"Crema Dental Fluo Cardent, 75 ml ","Crema Dental Fluo Cardent, 75 ml ",75.00,ML,359,96,96,"256000,00",2729.17,COP,143,7702560041761,280000
541,KOT-TOA-NOS-BUE-10-UND-0E02,"Toalla Nosotras Buenas Noches, 1 X 10","Toalla Nosotras Buenas Noches, 1 X 10",10.00,UND,360,18,18,"28,30",03.06,USD,145,7702026149567,85000
542,KOT-TOA-NOS-INV-10-UND-662F,"Toallas Nosotras Natural Invisible, 1 X 10","Toallas Nosotras Natural Invisible, 1 X 10",10.00,UND,361,24,24,"18,14",0.76,USD,146,7702027041662,54000
543,ARB-SER-200-UND-0271,"Servilleta Arbora 200 Hojas, 1 X 1","Servilleta Arbora 200 Hojas, 1 X 1",1.00,UND,363,30,30,"63000,00",2433.33,COP,150,7704269100381,68000
544,KAR-CER-AZU-250-GR-0881,"Cereal Karymba Azucarado, 250 gr","Cereal Karymba Azucarado, 250 gr",250.00,GR,364,12,12,"68000,00",5916.67,COP,151,7702807456433,72000
546,RIK-UNT-TOC-300-GR-4021,"Rikesa Untable Tocineta, 300 gr ","Rikesa Untable Tocineta, 300 gr ",300.00,GR,366,12,12,"56,00",4.67,USD,153,7590006200601,154000
547,ROQ-SAR-ACE-170-GR-7AB1,"Sardina Los Roques Aceite Vegetal, 170 gr","Sardina Los Roques Aceite Vegetal, 170 gr",170.00,GR,367,24,24,"16,58",0.69,USD,154,7595930000013,48000
548,CHU-PER-9-KG-6E64,"Perrarina Chunky para Cachorros, 9 kg","Perrarina Chunky para Cachorros, 9 kg",9.00,KG,368,1,1,"88000,00",94000.00,COP,155,7707205151850,90000
549,MAI-CER-NAT-300-GR-6A29,"Cereal Maizoritos Natural, 300 gr","Cereal Maizoritos Natural, 300 gr",300.00,GR,371,12,12,"30,26",2.52,USD,157,7591039100050,85000
550,KAR-CER-FRU-ARO-240-GR-442D,"Cereal Karymba Fruty Aros, 240 gr","Cereal Karymba Fruty Aros, 240 gr",240.00,GR,372,12,12,"68000,00",2.72,COP,158,7591039451046,72000
551,GIG-BAR-SIL-X-60-UND-E50E,"Barras de Silicon, 1 X 60","Barras de Silicon, 1 X 60",60.00,UND,373,1,1,"13000,00",13000.00,COP,159,7708466451598,16000
552,MON-AZU-PAP-1-KG-4BC5,"Azucar Montalban Papel, 1 kg","Azucar Montalban Papel, 1 kg",1.00,KG,374,20,20,"76000,00",3900.00,COP,160,7591357020108,790000
553,FRU-X-20-UND-1A5E,"Frutino Sabores Mixtos, 1 X 20","Frutino Sabores Mixtos, 1 X 20",20.00,UND,375,24,24,"357000,00",15000.00,COP,161,2,384000
554,BIC-ENC-X-12-UND-3A0B,"Encendedor Bic, 1 X 12","Encendedor Bic, 1 X 12",12.00,UND,376,1,1,"16000,00",16000.00,COP,162,7707349755310,17000
555,BIC-ENC-X-15-UND-29A0,"Encendedor Bic, 1 X 15","Encendedor Bic, 1 X 15",15.00,UND,377,1,1,"16000,00",16000.00,COP,163,7707349757710,17000
556,SUP-ESP-BRI-10-UND-A24D,"Esponja de Brillo Super Matrix, 1 X 10","Esponja de Brillo Super Matrix, 1 X 10",10.00,UND,378,1,1,"4000,00",4000.00,COP,164,5901563215489,5000
557,SUP-ESP-MUL-12-UND-3845,"Esponja Multiuso Super Matrix, 1 X 12","Esponja Multiuso Super Matrix, 1 X 12",12.00,UND,379,1,1,"4000,00",4000.00,COP,165,3,5000
558,SUP-ENC-LIN-X-25-UND-05DC,"Encendedor con Linterna Super+, 1 X 25","Encendedor con Linterna Super+, 1 X 25",25.00,UND,380,1,1,"9400,00",9400.00,COP,166,679231555957,11000
559,SUP-ENC-X-25-UND-9CBE,"Encendedor Super+, 1 X 25","Encendedor Super+, 1 X 25",25.00,UND,381,1,1,"7400,00",7400.00,COP,167,679231555940,8500
560,GEN-PEG-X-6-UND-A409,"Pegamento Instantaneo Genuine, 1 X 12","Pegamento Instantaneo Genuine, 1 X 12",12.00,UND,,1,1,"6000,00",,COP,168,7453074846839,7000
561,SUP-BOM-W-1-UND-5C39,"Bombillo 9w Super+, 1 X 10","Bombillo 9w Super+, 1 X 10",1.00,UND,383,10,10,"19000,00",21000.00,COP,169,4,23000
562,BAB-PAN-X-60-UND-87F9,"Panales Babysec Etapa 3 G, 1 X 60 ","Panales Babysec Etapa 3 G, 1 X 60 ",60.00,UND,,6,6,"295000,00",,COP,171,7707199346003,305000
563,ELA-CHI-APU-X-12-UND-4BC8,"Chimo El Apurenito, 1 X 12","Chimo El Apurenito, 1 X 12",12.00,UND,385,1,1,"11500,00",11600.00,COP,172,5,12500
